11-diethoxyethane|1دی اتوکسی اتان
milldam|سدآسیاب
milldam, mill dam|بند اسیاب‌
mille|هزار
mille-feuille|فرانسه
milled|آسیا شده
milled casing|جداره آسیاب شده
milled edge|حاشیه دندانه ای
milled fiber|الیاف آسیاب شده
milled fibers|الیاف آسیا شده
milled tooth bit|مته دندانه دار آسیاب شده
millefleurs|دارای نقش رنگارنگ و گل و بته دار
millenarian|معتقد به سلطنت هزار ساله مسیح‌
millenarianism|اعتقاد بهسلطنت هزار ساله مسیح
millenary|هزار
millenial|وابسته به دوره هزار ساله هزارسالی
millenium|دوره هزار ساله
millennial|جشن هزار ساله‌
millennium|هزاره
millennium thousandth|هزاره
millepede|s هزار پا
millepede, milleped e|هزار پا
millepore|هزار سوراخ
miller|هنری میلر رمان نویس امریکایی
miller analogies test mat|ازمون قیاسهای میلر
miller circuit|مدار میلر
miller effect|شبکه
miller indices|اندیس میلر
miller integrotor|انتگرال گیر میلر شبکه شارژ شونده خازن
miller modigliani mm approach|روش
miller thumb|یکجور ماهی قنات که کله بزرگی دارد
miller-griffiths procedure|گریفتس
millerain|نام تجاری نوعی تکمیل ضد آب کردن پارچه در انگلستان
millerite|خوب
miller's paradox|پارادوکس میلر
millesimal|هزارهای، هزاره‌ای‌
millet|ارزن
millet-seed sand|ماسه دانه ارزنی
milli|میلی
milli-darcy|یکهزارم دارسی
milli-thousandth|یک هزارم
milliammeter|میلی امپرسنج
milliampere|یک هزارم امپر، یک هزارم آمپر
milliampere-hour|ساعت
milliard|میلیارد
milliary|هزاره‌
millibar|میلی بار
millibarn|میلی بارن یک هزارم بارن
milliber|میلی بار یک هزارم بار
millicandela|میلی کاندلا یک هزارم کاندلا
millicent|میلی سنت
millicurie|فیزیک یک هزارم کوری
millidarcy|میلی دارسی واحد تراوایی
millidarcys|میلی دارسی
milliequvalent weight|وزن هم ارز میلی گرمی
millieu|محیط
millifarad|یک هزارم فاراد
milligal|1 گال یا
milligauss|ملی گاوس یک هزارم گاوس
milligaussmeter|میلی گاوس سنج گاوس سنجی که شدت میدان مغناطیسی را برحسب میلی کاوس اندازه می‌گیرد
milligram|میلی گرم
milligramme|میلیگرم
millihenry|میلی هنری
millikan oil-drop experiment|ازمایش قطره روغن میلیکان
milliken's estimability criterion|ملاک برآوردپذیری میلیکن
milliliter|یک هزارم لیتر
millilumen|میلی لومن یک هزارم لومن
millime|واحد پول تونس برابر با یک هزارم دینار میلم
millimeter|میلیمتر، میلی متر
millimetre|میلیمتر
millimicron|یک هزارم میکرون‌
millimicrosecond|میلی میکروثانیه
millin transform|تبدیل ملین
milline|آگهی در روزنامه و مله قیمت یک سطر آگهی در یک میلیون نسخه
milliner|کلاه فروش‌
millinery|کلاهدوزی‌
milling|آسیا
milling capacity|ظرفیت فرزکاری
milling color|رنگ میلینگ
milling cost|هزینه تغلیظ
milling cutter|تیغه فرز، تیغچه فرز
milling drilling and boring machine, milling-drilling and boring machine|ماشین فرز و مته
milling dye|رنگینه اسیدی نوع میلینگ
milling dyestfuff|رنگینه میلینگ رنگینه مناسب والک
milling fast|نام تجاری رنگهای اسیدی از کارخانجات مختلف
milling fixture|فیکسچر فرزکاری
milling head|سر فرز
milling machine|ماشین فرز
milling operation|فرزکاری
milling ore|کانه کم عیار
milling run|عملیات جهت میل نمودن یا حفاری وسیله مانده در چاه
milling shoe|کفشک ساینده
milling shop|کارگاه فرزکاری
milling shrinkage|جمع شدگی حاصل از نمدی شدن
milling tool|ابزار فرزکاری
milling tools|ابزارهای آس کاری
millingmachine, milling machine|ماشین تراش
million|ملیون، میلیون
million instructions per second|میلیون دستورالعمل در ثانیه
million instrument per second|واحد اندازه گیری برای مقایسه سرعت کامپیوتر‌ها
millionaire|میلیونر
millionairess|زن میلیونر پولدار دارای یک میلیون از واحدپول معینی
millionfold|یک میلون برابر
millions|میلیون‌ها
millionth|میلیونیمی
millipede|s هزار پا
millipede, milliped e|هزارپا، هزار پا
millipore filteration|تصفیه میلیپور
milliradian|برابر با 0
millirem|فیزیک یک هزارم رم
milliroentgen|میلی رونتگن
millisecond|میلی ثانیه
millisiemens|میلی زیمنس یک هزارم زیمنس
millisite|نوعی کانی
millisone|میلی سون واحد بلندی صدا برابر با یک هزارم سون
millitary service|خدمت وظیفه
millitex|میلی تکس
millitorr|میلی تور یک هزارم تور
millitre|میلیلیتر
millivolt|یک هزارم ولت‌
millivoltage|میلی ولتاژ ولتاژ که مقدار آن معمولا بر حسب ولت بیان شود
millivoltmeter|میلی ولت سنج
millivolts per meter|میلی بر متر ابزاری که اغلب برای شدت سیگنالهای بیشتر از 1000 به کار می‌رود
milliwatt|میلی وات یک هزارم وات
millmgrinding mill|آسیا
millon reaction|واکنش میلون
millon s reagent|معرف میلون
millosevichite|نوعی کانی
millpond|حوض آسیاب
millrace|آب آسیاب
millrace, mill race, mill-race|جوی اسیاب‌
millrace sluice|ناودان آسیاب
millrun|فلزی که از راه خرد کردن سنگ معدنی به دست آید
mills' ratio|نسبت میلز
millstone|طاحونه
millstone am|سنگ اسیا
millstream|آب آسیاب
millwork|در آسیاب کار آسیاب کاری
millwright|آسیاب ساز
millwright, mill wright|اسیاب ساز
milly|میلی
milner-bary gambit|گامبی میلنر
milo|میلو ورزشکار یونانی
milo maize|ذرت خوشه ای
milord|لردمن
milori blue|ابی میلوری
milos|یونان
milosovich|میلوسویچ
milotaite|نوعی کانی
milpa|میلا قطعه زمین کوچک جنگلی که چند سالی در آن کشت می‌کنند و رهایش میگذارند
milquetoast|امریکا آدم کمرو و تعارفی
milreis|دارد
mils trip|اشتباه میلیمی
milssonia|میلسونیا
milstar|شبکه ای برای جانشین کردن
milt|سپرز
milt spleen|طحال
milter|ماهی نر هنگام تخم ریزی
miltiades|میلتیادس سردار یونانی که ایرانیان را در نبرد ماراتن در 490 پیش از میلاد شکست داد
milton|جان میلتون
miltonian|وابسته به جان میلتون واشعار او
miltonic|وابسته به جان میلتون واشعار او
milvan|کانتینر حمل بار دریایی نظامی
milvan chassis|شاسی نصب کانتینر حمل بار دریایی
milwaukee|میلواکی شهر
mim|کمرو
mim capacitor|ساخته می‌شوند
mim code number|شماره کد MIM
mima mound|کومه خاک
mimail|طرف سرپرستان شبکه برای شما ارسال شده است
mimas|میماس
mime|تقلید
mime mimic mimicry mock|ادای کسی را درآوردن
mime pantomime|لال بازی درآوردن
mime-type|نوع مایم
mimental|گشتاوری
mimeograph|استنسیل‌
mimer|هنرپیشه مقلد وکمیک‌
mimesis|تقلید
mimesis neuroses|تقلید روانی
mimetene|فرمول: 3Cl
mimetic|تقلیدی
mimetics|تقلیدی
mimetism|تقلید حفاظتی
mimetite|زرد
mimic|تقلیدگر
mimic mime|اداگر
mimic seeming|نمودین
mimicker|مقلد
mimicking|ادا و اطوار
mimicry|تقلید
miming engineering|مهندسی معدن
miminy piminy|خودساز
mimir|اسطورهی نورس ممیر غولی که چشمهی خرد را پاسداری می‌کند
mimosa|حساسه
mimulus|جنس علف خنازیر
min|مین
min bituminous|قیرالود
min max method|روش حداقل حداکثر
min max technique|تکنیک مینیماکس
min safe mud weight|حداقل وزن گل مطمین
minable|قابل استخراج
minable or mineable|قابل استخرا از معدن برهیخت پذیر برهیختنی
minacious|تهدید کننده
minaciously|تهدید کنان
minacity|تهدید
minaei|ندیدم
minal|عضو انتهایی
minalon|لیف مصنوعی مینالون استات سلولز رشتهای یا پولکی
minamiite|نوعی کانی
minaret|منار
minaret spire|منار
minasargite|VO SO4. 5H2O میله عرضی
minasgeraisite|نوعی کانی
minasragrite|نوعی کانی
minatorily|از روی تهدید
minatory|تهدیدامیز، تهدید امیز
minaudiere|کیف دستی زنانه کوچک و معمولا مرصع
minbutton|خصیصه ای از فرمها برای حذف دکمه از فرم
mince|ریزه
mince hash|خرد کردن گوشت
mince pie|کلوچه گوشت دار
minced|قیمه‌
mincemeat|قیمه‌
mincer|چرخ گوشت
mincing|ناز
mincingly|ناز
mincingly sexily|با ادا و اطوار
minculculate|بد حساب کردن
mind|ذهن
mind bending|روان پریشی
mind blindness|کوری ادراکی
mind boggling|بیش از حد تصور کردن
mind deafness|کری ادراکی
mind mapping|نگاشت ذهنی
mind obey submit|مطیع بودن
mind object protest|مخالف بودن
mind reader|فکر خوان
mind reading|فکرخوانی، فکر خوانی
mind to do a thing|اماده انجام کاری
mind work|قانون فقه، قانون و فقه
mind your eye|بپایید
mind your own busine|درفکر کار خودت باش‌
mind your own business|درفکر کار خودت باش
mind your p's and qs|در گفتار و کردار خود بهوش باشید
mind-altering|دگرگون کنندهی طرز تفکر بینش گردان
mind-blowing|کوبنده خودمانی
mind-body problem|مساله تن و روان
mind-boggling|بغرن دشوار دیر فهمیدنی گی کننده
mindanao|مینداناو بزرگترین جزیرهی کشور فیلیین
minded|آماده
mindedness|کلم
mindel|صفت
mindel riss|بکار می‌رود
minder|مباشر
minder tail tender watchman|با
mindful|متفکر
mindful of anything|ملتفت چیزی
mindful quarters|زینهار
mindfully|با توجه
mindfulness|توجه
minding|تصور
mindless|بی مخ
mindless oblivious stagnant unaware|ناهشیار
minds|افطار
mind's eye|تخیل انگاشت پندار
mind's eye notion|انگاشت
mindset|طرز فکر
mine|ام
mine access|عمخلیات دست یابی
mine action|عمل مین
mine car|ماشین معدن
mine car hoisting|چاه حمل و نقل واگن‌های معدنی
mine casemate|بدنه کلاهک مین
mine clearance|پاک کردن مین
mine coal|ابزار
mine density|میزان تراکم مین در میدان مین
mine detector|مین یاب ارتش
mine development|چاه زنی
mine dump|خاکریز معدنی
mine dumps|زباله گاه کانسار
mine entry|راه ورودی به معدن
mine field|ناحیه مین گذاری شده دردریا
mine hunting|کشف و خنثی کردن مین
mine life|عمر معدن
mine locomotive|لکوموتیو معدن
mine mooring|خوشه مین
mine mouth electrice plant|یک کارخانه تولید الکتریسیته با سوخت زغال که در نزدیک یک معدن زغال سنگ ساخته می‌شود
mine my|مال من
mine opening|گشایش معدن
mine orientation|توجیه معدن
mine recervoir prospect trap|معدن
mine rescue crew|گروه نجات معدنی
mine row|ردیف مین در میدان مین
mine spoil|خاکهای معدنی
mine spotting|کشف مین
mine strilizer|خنثی کننده مین
mine strip|نوار مین
mine sweeper|مین‌روب‌
mine sweeper inshore msi|مین روب رودخانه ای
mine sweeping|مین روبی
mine thrower|یکجور توپ سنگری
mine timber|الوار معدن
mine tracks|ریلهای مین گذاری ناوها
mine tractor|تراکتور معدنی
mine ventilation|هواراه
mine ventilation system|سیستم تهویه معدن
mine vessel|ناو مین جمع کن
mine warfare|جنگ مین
mine watching|عملیات تجسس و پیدا کردن مین یا مراقبت از مین گذاری دشمن
mine water|آب معدن
mine winch|وینچ مین جمع کنی
mine working|کار معدنی
mine-feild|ناحیه مین گذاری شده
mineability|قابلیت استعخراج
mineable grade|عیار قابل استخراج
minecar, mine car|واگن معدن
mined your eye|بپا
mineevite|نوعی کانی
minefield|میدان مین
minehillite|نوعی کانی
minelayer|ناو مین گذار
minelayer, mine layer|کشتی مین گذار
minelaying|مین گذاری
miner|ماشین استخراج
miner quarry man|معدن کار
mineral|ماده معدنی‌، مواد معدنی
mineral acid|اسید معدنی
mineral assemblage|مجموعه کانی
mineral association|همیافتی کانیایی
mineral blue|آزوریت
mineral caoutchouc|نیز ببینید
mineral charcoal|زغال چوب معدنی
mineral coal|ذغالسنگ
mineral color|رنگ معدنی طبیعی
mineral deposit|توده کانی
mineral elements|عناصر معدنی
mineral engeniring|مهندسی مواد معدنی
mineral facies|شکل گرفته اند
mineral fiber|لیف معدنی
mineral fibre|لیف معدنی
mineral fillers|پرکننده‌های معدنی
mineral group|گروه معدنی
mineral ion exchanger|مبدل یونی معدنی
mineral jelly|وازلین
mineral khaki|رنگ خاکی
mineral kingdom|جهان جمادات
mineral lands|مقایسه شود
mineral material|ماده کانی
mineral matter|کانی
mineral nutrient|ماده آهنی
mineral occurrence|رخداد معدنی
mineral oil|نفت
mineral oil refinery|پالایشگاه نفت
mineral pigment|رنگ معدنی
mineral pitch|اسفالت‌
mineral processing|آرایش مواد
mineral reserves|ذخایر معدنی
mineral resin|صمغ معدنی
mineral resource|منبع معدنی، منابع معدنی
mineral right|حق امتیاز استخراج
mineral sands|پلاسر ساحل
mineral soap|صابون معدنی
mineral soil|خاک معدنی
mineral spring|چشمه معدنی
mineral streaking|مقایسه شود با
mineral survey|نشانه گذاری معدن
mineral tar|مالته
mineral time|زمان کانیایی
mineral trass|تراس کانی
mineral vein|رگه کانی
mineral water|کاناب
mineral wax|مومیا
mineral wool|پشم شیشه
mineral zone|زون معدنی
mineral zoning|زون بندی معدنی
mineral-forming solution|محلول کانی ساز
mineralac|مینرالاک
mineralisation|کانی زایی
mineralization|کانش
mineralization enrichment|ستون کانی سازی
mineralization field|میدان کانی سازی
mineralize|کردن‌
mineralized vein|رگه کانی سازی شده
mineralized zone|هر توده ای از سنگ میزبان که کانیهایی با ارزش تجاری ظاهر شود
mineralizer|کانی ساز
mineralocorticoid|مینرالوکورتیکویید
mineralogic|صفت
mineralogical|مربوط به معدن شناسی‌
mineralogical analysis|تجزیه کانی شناختی
mineralogical phase rule|پایین می‌آورد
mineralogically|از لحاظ کان شناسی
mineralogist|مشخصات
mineralography|کانسنگ شناسی
mineralogy|مینرالوژی
mineraloid|کانی وار
minerals|کانیها
minerlized zone|منطقه کانی دار
minerogenetic|کانی زادی
minerogenic|کانی زادی
minerotrophic|معدنی پرور
miners compass|قطب نمای معدنی
miner's lamp|چراغ معدن
minerva|الهه
mines|معادن
minestrone|مینیسترونی خوراک پزی
minesweeper|بازی مین روب
minesweeper, mine sweeper|کشتی مین جمع کن
minette|تشکیل شده است
minette ore|کانه
mineur|اصغر
mineure|صغری
minever|قاقم‌
ming|مینگ
ming tree|درخت مصنوعی و آذینی گیاه ساختگی
minge|زغال سنگ سست
mingle|سرشتن
mingle mix|آشوردن
mingnontte|گیاه اسپرک با رنگ زرد طبیعی
minguzzite|نوعی کانی
mingy|پست
minheap|درخت حافظه پویای مینیمم
mini|مینی
mini cell|ریز سلول
mini cinema|برنامه ای زیبا برای پخش و تبدیل برخی از فرمتهای صوتی
mini floppy|دیسک کوچک
mini hydroelectric power|نیروگاهک آبی
mini icons|خرد شمایل
mini max approximation|تقریب مینی ماکس
mini maximum|مینی ماکسیمم
mini preparation|ریز آماده سازی
mini scale|مقیاس کوچک
mini-brute|آرک کوچک
mini-fullfacer|ماشین حفر تونل تمام سطح کوچک
mini-mount|مینی ماونت‌
mini-series|سریال تلویزیونی کوتاه
miniamal rule|روش برازش
miniate|تذهیب کردن
miniature|مدل
miniature camera|دوربین مینیاتوری
miniature golf|بازی گلف در زمین بسیار کوچک و معمولا با چمن مصنوعی
miniature lamp|لامپ مینیاتوری
miniature mock-up model|ماکت
miniature pinscher|نوعی سگ که بسیار ریز است پینچر ریز
miniature system|خرده نظام
miniaturist|مینیاتوریست
miniaturization|کوچک سازی‌
miniaturize|کوچک کردن‌
miniaturized|کوچک شده‌
minibike|مینی با یک
minibus|مینی بوس
minicab|اتومبیل کوچک مخصوص تاکسی‌
minicam|دوربین سبک
minicamera|دوربین خیلی کوچک‌
minicase|رخدادک
minicomputer|رایانه کوچک
minicomputer, mini computer|ریزکامپیوتر، ریز کامپیوتر
minie ball|قرن نوزدهم
minify|خرد ساختن‌
minikin|خرد
minim|خرد
minima|حداقل
minimal|اقل
minimal antichain decomposition|تجزیه پاد زنجیری مینیمال، تجزیه‌ی پادزنجیری مینیمال
minimal art|هنر کمینه گرای هنر مینی مال
minimal audible sound|کمترین صوت شنودپذیر
minimal basis|پایه مینیمال
minimal boolian expression|عبارت بولی مینیمال
minimal brain damage|کمترین اسیب مغزی موثر
minimal changes method|روش کمترین تغییرات
minimal coupling|جفت شدگی کمینه
minimal cover|پوشش مینیمال
minimal cue|نشانه کمینه
minimal curve|خم مینیمال
minimal cut set|مجموعه برشهای مینیمال
minimal differential equation|معادله دیفرانسیل کمترین
minimal element|عضو کمینال
minimal equation|معادله مینیمال
minimal extension|توسیع کهین
minimal form|صورت مینیمال
minimal function|تابع کمین‌
minimal generating set|مجموعه تولید کننده کهین
minimal ideal|ایدآل مینیمال
minimal left ideal|ایده آل چپ مینیمال
minimal medium|مینیمم
minimal member|عضو مینیمال
minimal minimum|کمینی
minimal path set|مجموعه مسیرهای مینیمال
minimal polynomial|کثیرالجمله کهینه
minimal prime divisor|مقسوم علیه اول مینیمال
minimal prime ideal|ایده آل اول مینیمال
minimal right ideal|ایده آل راست مینیمال
minimal risk level|حداقل سطح ریسک
minimal spanning tree|درخت فراگیر حداقل
minimal sufficiency|کیفیت مینیمال
minimal sufficient statistic|آماره بسنده مینیمال
minimal sum|مجموع مینیمال
minimal sum form|صورت مجموع مینیمال
minimal sum of produst form|صورت مجموع حاصل ضرب‌های مینیمال
minimal sums|حاصل جمع مینیمال
minimal surface|رویه مینیمال
minimal surface method|رویه کمترین مساحت
minimal tracking|ردیابی کمینه
minimal tree|درخت مینیمال
minimalism|کمینه‌گرایی
minimalist|کمینه گرای
minimality|کهینی
minimalization|کمینه سازی‌
minimally|به طور اندک
minimax|اقتصاد
minimax criterion|ملاک مینیماکس
minimax decision function|تابع تصمیم مینیماکس
minimax decision rule|قاعده تصمیم مینیماکس
minimax estimate|برآورد اقل اکثر
minimax estimation|برآورد مینیماکسی
minimax method|روش مینیماکس
minimax point|نقطه زین اسبی
minimax property|خاصیت مینی ماکس
minimax regret|مینیمم حداکثر زیان
minimax rule|قاعده مینی ماکس
minimax solution|تابع تصمیم مینیماکس
minimax strategy|خط مشی مینیماکس
minimax technique|تقریب چبیشف
minimax test|آزمون مینیماکسی
minimax theorem|قضیه مینیماکس
minimax theory|نظریه مینی ماکس
minimicrite|0 تا 5
minimin|مینیمین
minimization|حداقل سازی
minimization of cost|حداقل کردن بهای تمام شده
minimize|کمینه ساختن
minimized|کمینه
minimized domain|مینیمایز شده
minimized protein|کمینه
minimizer|کم انگار
minimizing|حداقل کردن
minimum|کمینه
minimum acceptable rate of return|حداقل نرخ بازده قابل قبول
minimum access time|حداقل زمان دستیابی
minimum anomalous content|حداقل مقدار آنومالی
minimum attractive rate of return marr|حداقل نرخ جذب کننده
minimum bounding box|کوچکترین مستطیل در بر گیرنده
minimum bounding box (mbb|کوچک‌ترین مستطیل دربرگیرنده
minimum breaking load|کمینه بار گسیختگی
minimum chi-square|مینیمم خی‌دو
minimum clearance|حداقل حاشیه امنیت بالای مانع
minimum code spanning tree|درخت فراگیر با کمترین کد
minimum cost spanning tree|درخت فراگیر با کمترین هزینه
minimum covariance determinant estimator|برآوردگر مینیمم دترمینان کوواریانس
minimum cut|برش کمینه
minimum description length (mdl|طول توصیفی کمینه
minimum discrimination information estimation|برآورد کردن با مینیمم اطلاع تشخیص
minimum distance classification|طبقه بندی کمینه فاصله
minimum distance estimation|برآورد کردن با مینیمم فاصله
minimum divergence estimation|برآورد کردن با مینیمم انحراف
minimum down payment|حداقل میزان پیش پرداخت
minimum edit distance|کمینه فاصله ویرایش
minimum element|عنصر کمینه، عنصر کهینه
minimum elevation|حداقل درجه
minimum feature|حداقل نما
minimum flow|آب کاستی
minimum focusing distance|فاصله وضوحی
minimum head|فرازه کمینه
minimum height|حداقل ارتفاع
minimum initial investment|حداقل سرمایه گذاری اولیه
minimum lease payments|حداقل مبالغ اجاره
minimum liability|حداقل بدهی
minimum mapping unit|کوچکترین واحد نقشه
minimum mean square error (mmse|کمینه میانگین مربعات خطا، کمترین میانگین مربعات خطا
minimum modulus principle|اصل کالبد مینیمم
minimum moment|گشتاور حداقل
minimum mortality|حداقل مرگ و میر
minimum norm quadratic estimation|برآورد کردن با مینیمم نرم درجه دوم
minimum of aggregate sample|حداقل نمونه سنگ دانه
minimum oil circuit|کلید با قطع کمینه
minimum path|کوتاهترین مسیر
minimum phase|فاز حداقل
minimum point|نقطه حداقل
minimum potential water power|کمینه توان آب
minimum price|حداقل بها
minimum principle|اصل حداقل
minimum principles|اصول حداقل
minimum qualification|حداقل شرایط لازم
minimum qualifications|حداقل شرایط لازم
minimum range|حداقل برد
minimum rank factor analysis|تحلیل عاملی مینیمم رتبه
minimum rastio test|آزمون مینیمم کسر
minimum required strength|حداقل استحکام مورد نیاز
minimum requirements|حداقل شرایط لازم
minimum resolvable temperature|حرارتی
minimum risk equivariant estimator|برآوردگر هم‌وردای مینیمم مخاطره
minimum rock bottom skeleton|کمینه
minimum sector altitude|حداقل ارتفاع بخش
minimum size|اندازه حداقل
minimum slope|شیب کمینه
minimum spanning tree|درخت فراگیر کمینه
minimum spanning tree (mst|درخت فراگیر کمینه
minimum standard of living|حداقل سطح زندگی
minimum stock level|حداقل
minimum subsistence level|سطح حداقل معیشت
minimum tillage|خاک ورزی کمینه
minimum time path|مسیر زمان کمینه
minimum time rate|حداقل نرخ ساعتی
minimum trace factor analysis|تحلیل عاملی مینیمم اثر
minimum transfer price|حداقل
minimum traveling time|حداقل زمان پیمایش
minimum unlikelihood estimation|برآورد مینیمم نادرستنمایی
minimum variance estimator|برآورد کننده مینیمم
minimum variance set|کمترین ریسک را دارند
minimum variance unbiased estimation|برآورد نااریب مینیمم واریانس
minimum vertex cut|برش رأسی کمینه، برش راسی کمینه
minimum volume ellipsoid estimator|برآوردگر مینیمم حجم بیضوی‌وار
minimum volume estimation|برآورد با مینیمم حجم
minimum wage|مزد کمینه
minimum yield strength|حداقل مقاومت واردی
minimum-description-length principle|اصل کوتاهترین توصیف
minimum-energy orbit|مدار انرژی می‌نیمم
minimus|خردسالترین
mininformation|ع یا خبر نادرست‌
mining|مرا
mining block|قطعه معدنی
mining cable|کابل ویژه معدن
mining concession|محدوده معدن
mining dicrict|ناحیه معدنی
mining effect|اثر انفجاری مین
mining engineer|مهندس معدن، مهندسی معدن
mining engineering|مهندسی معدن
mining geology|مقایسه شود با
mining ground|زمین معدنی
mining hazard|تصادف معدنی
mining lamp|چراغ معدنی
mining lease|اجاره معدنی
mining method|روش استخراج
mining property|مالکیت معدنی
mining retreating|استخراج به طریقه پسروی
mining transformer|ترانسفورماتورهای معدنی
mininig camp|کمپد معدنی
minion|مهور معشوقه
minion subaltern|افسر جز
miniperipheral|دستگاه جانبی کوچک
miniphyric|0 میلی متر است
miniprotein|مینی پروتیین
miniprotein domain|محدوده یک مینی پروتیین
minisatellite|ریز قمر
miniseries|برنامه چند شبه تلویزیون
miniseries or mini-series|برنامههای تلویزیونی برنامهی چند شبه
minisetering angel|پرستار
minish|کم شدن
minisity of roads an|وزارت راه‌وشاهراه‌
minisity of roads and highways|وزارت طرق وشوارع
miniski|نوعی اسکی کوتاه
miniskirt|مینی ژوب
ministate|کشور کوچک ریزکشور خرد کشور
minister|وزیر
minister for foreign affairs|وزیر امور خارجه
minister of commerce|وزیربازرگانی
minister of court|وزیر دربار
minister of defense|وزیردفاع، وزیر دفاع
minister of economy|وزیر دارائی، وزیر دارایی
minister of foreign affairs|وزیر امور خارجه
minister plenipot|وزیر مختار
minister plenipotentiary|تمام دارد
minister resident|وزیر مقیم، و زیر مقیم
minister secretary vizier|وزیر
minister serve service|خدمت کردن
minister to|رفع و رجوع کردن
minister without por|وزیر مشاور
minister without portfolio|وزیر مشاور، و زیر مشاور
ministerial|اداری
ministerial function|وظیفه اداری
ministerialist|انگلیس هوادار وزیر
ministers|وزرا
ministrant|خادم‌
ministration|تهیه
ministry|وزارت
ministry, the ministry|وزارتخانه، وزارت خانه
ministry education|وزارت فرهنگ
ministry of agriculture|وزارت کشاورزی
ministry of commerce|وزارت بازرگانی
ministry of culture and higher education|وزارت فرهنگ و آموزش عالی
ministry of defense|وزارت دفاع
ministry of economic affairs and finance|وزارت امور اقتصادی و دارایی
ministry of educatio|وزارت فرهنگ‌
ministry of education|وزارت فرهنگ
ministry of energy|وزارت نیرو
ministry of finance|وزارت دارایی
ministry of foreign|وزارت خارجه
ministry of foreign affairs|وزارت خارجه
ministry of health and welfare|وزارت بهداری و بهزیستی
ministry of housing|وزارت مسکن
ministry of industries and mines|وزارت صنایع و معادن
ministry of industry|وزارت پیشه و هنر
ministry of information|وزارت اطلاعات
ministry of interior|وزارت کشور
ministry of international trade and industry|ام آی تی آی مخفف وزارت بازرگانی و صنایع بین المللی
ministry of justice|وزارت عدلیه
ministry of labor|وزارت کار
ministry of national defence|وزارت دفاع ملی
ministry of national economy|وزارت اقتصاد ملی
ministry of post telegraph and telephone|وزارت پست و تلگراف و تلفن
ministry of road and transportation|وزارت راه و ترابری
ministry of the inte|وزارت کشور
ministry of the interior|وزارت کشور
ministry of war|وزارت جنگ
minitab|نرم افزار آماری بسیار قوی و رایج
minitrack|دستگاه کوچک ردیابی ماهوارهها ریز ردیاب
minium|مات
minivan|وانت کوچک
miniver|قاقم‌
minix|مینیکس
mink|مینک
minke whale|جانورشناسی وال مینک که نهنگی کوچک و تندرو است
minkowski inequality|نامساوی مینکوفسکی
minkowski reduction theory|نظریه تحویل مینکوفسکی
minkowski's inequality|نابرابری مینکوفسکی
minn|ایالت مینهسوتا امریکا
minneapolis|میناپولیس شهر
minnesinger|هر یک از شعرای غنایی آلمان در سدههای 12 تا
minnesota|مینسوتا
minnesota clerical aptitude test|ازمون استعداد امور دفتری مینه سوتا
minnesota paper form board|ازمون جااندازی کاغذی مینه سوتا
minnesota rate of manipulation test|ازمون سرعت دستکاری مینه سوتا
minnesota spacial relations test|ازمون روابط فضایی مینه سوتا
minnesotaite|نوعی کانی
minnow|کپور
minnow paradise|مینو
minoan|مربوط بهتمدن باستان عصر مفرغ جزیره کرت
minometer|دستگاه دوزسنج تشعشع اتمی
minophyric|همچنین سنگی با بافت مذکور
minor|خرد
minor a determinant|کهین یک دترمینان
minor ablutions as prescribed by shariah|وضو
minor arc|قوس اقصر
minor arc of a circle|قوس کوچکتر دایره
minor arts|هنرهای فرعی
minor axis|قطر اقصر
minor axis of an ellipse|قطر اقصر بیضی
minor base|باز فرعی
minor change|خرد تغییر
minor character|سیاهی لشکر، سیاهی لشگر
minor constituent|عنصر جزئی
minor control|کنترل کم
minor cycle|چرخه خرد
minor defect|عیب جزیی
minor defects|نقایص جزیی
minor determinant|معین فرعی
minor diameter|قطر اقصر
minor element|عنصر فرعی
minor elements|عناصر جزئی، عناصر جزیی
minor epilepsy|صرع کوچک
minor exchange|تفاوت کوچک
minor face|وجه کوچکتر یکی از سه وجه طولانی‌تر بلور شانزده وجهی کوارتز طبیعی
minor faults|عیب کوچک
minor focus|کانون فرعی
minor fold|چین فرعی
minor groove|فرورفتگی کوچک
minor head|افت فشار موضعی
minor intrusions|مانند سیل ودایک
minor league|کارها
minor lobe secondary lobe side lobe|لب کوچک
minor loop|حلقه کهاد
minor mode|موسیقی بیشتر در گام مینور
minor occultation|غیبت صغری
minor of a determinant|کهاد دترمینان
minor of a matrix|کهاد ماتریس
minor of an element in a determinant|کهین یک عنصر در دترمینان
minor of matrix|کهاد ماتریس
minor off|خلاف‌
minor offence|خلاف
minor offences|صغائر
minor offense|خلاف
minor or petty offence|خلاف
minor order|صفوف روحانی پایین درجه‌
minor orders|کلیسای کاتولیک رتبههای کهین رستههای کهین
minor party|حزب اقلیت‌
minor penalty|خطای کوچک و 2 دقیقه اخراج
minor petty|جزیی
minor pieces|سوارهای سبک شطرنج
minor planet|سیارک
minor planets|سیارات سغار
minor poisson's ratio|نسبت پواسون فرعی
minor port|بندر کوچک
minor premise|صغرای قضیه
minor premise, the minor premise|صغری
minor premiss|صغری
minor prophets|انیل
minor repair|لکه گیری
minor repairs|دستکاری
minor scale|گام مینور موسیقی
minor scarp|شیب فرعی
minor sector|قطاع کوچکتر
minor segment|قطعه کوچکتر
minor seminary|کلیسای کاتولیک مدرسهی الهیات معمولا معادل دورهی دبیرستان و دوسال اول دانشگاه
